Date,Sensor Glucose (mmol/L),
09/02/2022 23:02,10.5,
09/02/2022 23:07,10.4,
09/02/2022 23:12,10.3,
09/02/2022 23:17,10.2,
09/02/2022 23:22,10.1,
09/02/2022 23:27,10.1,
09/02/2022 23:32,10.1,
09/02/2022 23:37,10.1,
09/02/2022 23:42,10,
09/02/2022 23:47,10,
09/02/2022 23:52,10,
09/02/2022 23:57,10,
09/03/2022 00:02,10,
09/03/2022 00:07,9.9,
09/03/2022 00:12,9.7,
09/03/2022 00:17,9.5,
09/03/2022 00:22,9.3,
09/03/2022 00:27,9.2,
09/03/2022 00:32,9.1,
09/03/2022 00:37,9.2,
09/03/2022 00:42,9.1,
09/03/2022 00:47,9,
09/03/2022 00:52,8.8,
09/03/2022 00:57,8.6,
09/03/2022 01:02,8.7,
09/03/2022 01:07,8.8,
09/03/2022 01:12,8.6,
09/03/2022 01:17,8.3,
09/03/2022 01:22,8,
09/03/2022 01:27,7.9,
09/03/2022 01:32,8,
09/03/2022 01:37,8,
09/03/2022 01:42,8,
09/03/2022 01:47,8,
09/03/2022 01:52,7.9,
09/03/2022 01:57,7.9,
09/03/2022 02:02,7.8,
09/03/2022 02:07,7.8,
09/03/2022 02:12,7.8,
09/03/2022 02:17,7.7,
09/03/2022 02:22,7.5,
09/03/2022 02:27,7.3,
09/03/2022 02:32,7.2,
09/03/2022 02:37,7,
09/03/2022 02:42,6.8,
09/03/2022 02:47,6.6,
09/03/2022 02:52,6.5,
09/03/2022 02:57,6.7,
09/03/2022 03:02,6.8,
09/03/2022 03:07,6.8,
09/03/2022 03:12,6.7,
09/03/2022 03:17,6.5,
09/03/2022 03:22,6.2,
09/03/2022 03:27,6.1,
09/03/2022 03:32,6.1,
09/03/2022 03:37,6.2,
09/03/2022 03:42,6.3,
09/03/2022 03:47,6.5,
09/03/2022 03:52,6.8,
09/03/2022 03:57,7,
09/03/2022 04:02,7,
09/03/2022 04:07,6.9,
09/03/2022 04:12,6.9,
09/03/2022 04:17,6.9,
09/03/2022 04:22,6.7,
09/03/2022 04:27,6.7,
09/03/2022 04:32,6.7,
09/03/2022 04:37,6.8,
09/03/2022 04:42,6.7,
09/03/2022 04:47,6.5,
09/03/2022 04:52,6.5,
09/03/2022 04:57,6.5,
09/03/2022 05:02,6.5,
09/03/2022 05:07,6.5,
09/03/2022 05:12,6.3,
09/03/2022 05:17,6.2,
09/03/2022 05:22,6.2,
09/03/2022 05:27,6.1,
